ID,Probe_Id,Definition,Ontology_Component,Ontology_Process,Ontology_Function,Chromosome,Probe_Coordinates,Cytoband,Probe_Chr_Orientation,RefSeq_ID,Entrez_Gene_ID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ETV4,ILMN_1753830,"Homo sapiens ets variant gene 4 (E1A enhancer binding protein, E1AF) (ETV4), mRNA.",nucleus [goid 5634] [evidence NAS]; nucleus [goid 5634] [evidence NAS],"regulation of transcription, DNA-dependent [goid 6355] [evidence NAS]; transcription [goid 6350] [evidence IEA]; regulation of transcription, DNA-dependent [goid 6355] [evidence NAS]; transcription [goid 6350] [evidence IEA]",transcriptional activator activity [goid 16563] [evidence NAS]; sequence-specific DNA binding [goid 43565] [evidence IEA]; transcription factor activity [goid 3700] [evidence IEA]; transcriptional activator activity [goid 16563] [evidence NAS]; transcription factor activity [goid 3700] [evidence IEA]; sequence-specific DNA binding [goid 43565] [evidence IEA],17,38961026-38961075,17q21.31b,-,NM_001986.1,2118,ETV4,3.502593002383403,6.988348947008061,32.863546249311895,2.981287215970706e-75,3.728099663571368e-72,161.20516952625
JAM2,ILMN_1672350,"Homo sapiens junctional adhesion molecule 2 (JAM2), mRNA.",integral to plasma membrane [goid 5887] [pmid 10779521] [evidence NAS]; membrane [goid 16020] [evidence IEA]; tight junction [goid 5923] [evidence IEA],cell-cell adhesion [goid 16337] [pmid 10779521] [evidence NAS],,21,26000188-26000237,21q21.3a,+,NM_021219.2,58494,JAM2,-2.8513556455077556,8.074721238187081,-32.76998122605629,4.5208976075367815e-75,5.320830548917407e-72,160.79160255189234
RHOJ,ILMN_1678215,"Homo sapiens ras homolog gene family, member J (RHOJ), mRNA.",intracellular [goid 5622] [evidence IEA]; membrane [goid 16020] [evidence IEA]; intracellular [goid 5622] [evidence IEA]; membrane [goid 16020] [evidence IEA],small GTPase mediated signal transduction [goid 7264] [evidence IEA]; actin cytoskeleton organization and biogenesis [goid 30036] [pmid 10967094] [evidence IMP]; regulation of cell shape [goid 8360] [evidence IEA]; small GTPase mediated signal transduction [goid 7264] [evidence IEA]; actin cytoskeleton organization and biogenesis [goid 30036] [pmid 10967094] [evidence IMP]; regulation of cell shape [goid 8360] [evidence IEA],protein binding [goid 5515] [evidence ISS]; GTP binding [goid 5525] [evidence IEA]; nucleotide binding [goid 166] [evidence IEA]; GTPase activity [goid 3924] [pmid 10967094] [evidence NAS]; protein binding [goid 5515] [evidence ISS]; GTP binding [goid 5525] [evidence IEA]; nucleotide binding [goid 166] [evidence IEA]; GTPase activity [goid 3924] [pmid 10967094] [evidence NAS],14,62827799-62827848,14q23.2b,+,NM_020663.2,57381,RHOJ,-2.4946150062306955,7.233030907915574,-32.4378368387583,1.9960543735767697e-74,2.2187253281402227e-71,159.31632691556194
PLAC9,ILMN_1790859,"Homo sapiens placenta-specific 9 (PLAC9), mRNA.",,,,10,81891873-81891915:81893959-81893965,10q22.3f,+,NM_001012973.1,219348,PLAC9,-3.7428216023620537,9.694239200249001,-31.962260015199316,1.7061514276065483e-73,1.7966672507132535e-70,157.18432016410307
LDB2,ILMN_1800697,"Homo sapiens LIM domain binding 2 (LDB2), mRNA.",nucleus [goid 5634] [evidence IEA],development [goid 7275] [evidence IEA],transcription cofactor activity [goid 3712] [pmid 9880598] [evidence TAS],4,16112426-16112475,4p15.32c,-,NM_001290.2,9079,LDB2,-2.9001142982471304,10.480645948008291,-31.49020978552086,1.4684360243954837e-72,1.4690233988052418e-69,155.0449224586819
SPOCK2,ILMN_1656287,"Homo sapiens sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2 (SPOCK2), mRNA.",extracellular matrix (sensu Metazoa) [goid 5578] [pmid 10386950] [evidence NAS],extracellular matrix organization and biogenesis [goid 30198] [pmid 10386950] [evidence NAS]; synaptogenesis [goid 7416] [pmid 10386950] [evidence NAS]; regulation of cell differentiation [goid 45595] [pmid 10386950] [evidence NAS],calcium ion binding [goid 5509] [pmid 10386950] [evidence IDA],10,73488877-73488926,10q22.1e,-,NM_014767.1,9806,SPOCK2,-3.236826273338222,11.30493219226556,-31.347130005116917,2.83255561542554e-72,2.698751083496867e-69,154.39184697001747
RGC32,ILMN_1658494,"Homo sapiens response gene to complement 32 (RGC32), mRNA.",cytoplasm [goid 5737] [pmid 9756947] [evidence TAS],,,13,40942716-40942765,13q14.11b,+,NM_014059.1,28984,RGC32,-2.822052552374833,12.68030894002329,-30.998992419567998,1.4134800966757398e-71,1.285495898831282e-68,152.79373860421035
C2orf32,ILMN_2182148,"Homo sapiens chromosome 2 open reading frame 32 (C2orf32), mRNA.",,,protein binding [goid 5515] [pmid 16696853] [evidence IPI],2,68374157-68374206,2p14a,-,NM_015463.1,25927,C2orf32,-2.537773625854233,6.8163338183436855,-30.38768816290928,2.4521869483237912e-70,2.1331894113940182e-67,149.95613230587387
MMRN1,ILMN_1660114,"Homo sapiens multimerin 1 (MMRN1), mRNA.",,blood coagulation [goid 7596] [pmid 9189649] [evidence TAS]; cell adhesion [goid 7155] [pmid 9189649] [evidence TAS],,4,91094532-91094581,4q22.1d,+,NM_007351.2,22915,MMRN1,-3.710862674330505,7.615698080627529,-30.349794965831173,2.930499727591112e-70,2.443059939568457e-67,149.77890386267168
EDG1,ILMN_1653504,"Homo sapiens endothelial differentiation, sphingolipid G-protein-coupled receptor, 1 (EDG1), mRNA.",integral to plasma membrane [goid 5887] [evidence NR ]; plasma membrane [goid 5886] [pmid 8626678] [evidence TAS],signal transduction [goid 7165] [evidence IEA]; G-protein coupled receptor protein signaling pathway [goid 7186] [pmid 8626678] [evidence TAS]; cell adhesion [goid 7155] [pmid 10555146] [evidence TAS],lysosphingolipid and lysophosphatidic acid receptor activity [goid 1619] [evidence IEA]; receptor activity [goid 4872] [evidence IEA],1,101478843-101478892,1p21.2a,+,NM_001400.2,1901,EDG1,-2.7688913348950113,7.990456491654652,-30.2319547804733,5.105416229234033e-70,4.0859667165805817e-67,149.22675745758573
FHL1,ILMN_1805842,"Homo sapiens four and a half LIM domains 1 (FHL1), mRNA.",nucleus [goid 5634] [evidence IEA],cell differentiation [goid 30154] [evidence IEA]; cell growth [goid 16049] [evidence NAS]; muscle development [goid 7517] [pmid 7626119] [evidence NAS],zinc ion binding [goid 8270] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA],X,135120766-135120815,Xq26.3b,+,NM_001449.3,2273,FHL1,-3.3469359792796256,8.824419009460764,-30.080192012972518,1.0458764333634036e-69,7.889192505496219e-67,148.5134246181016
TEK,ILMN_1751576,"Homo sapiens TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal) (TEK), mRNA.",integral to plasma membrane [goid 5887] [pmid 8382358] [evidence TAS],cell-cell signaling [goid 7267] [pmid 8980225] [evidence TAS]; signal transduction [goid 7165] [pmid 8382358] [evidence TAS]; transmembrane receptor protein tyrosine kinase signaling pathway [goid 7169] [pmid 8980225] [evidence TAS]; protein amino acid phosphorylation [goid 6468] [evidence IEA],nucleotide binding [goid 166] [evidence IEA]; kinase activity [goid 16301] [evidence IEA]; transmembrane receptor protein tyrosine kinase activity [goid 4714] [pmid 8382358] [evidence TAS]; receptor activity [goid 4872] [pmid 10766762] [evidence TAS]; transferase activity [goid 16740] [evidence IEA]; protein serine/threonine kinase activity [goid 4674] [evidence IEA]; ATP binding [goid 5524] [evidence IEA],9,27219803-27219852,9p21.2a,+,NM_000459.1,7010,TEK,-3.5563509882320306,8.762183409679885,-30.076440658313683,1.0646151421851156e-69,7.889192505496219e-67,148.49576003710305
GIMAP6,ILMN_1757785,"Homo sapiens GTPase, IMAP family member 6 (GIMAP6), transcript variant 1, mRNA.",,,GTP binding [goid 5525] [evidence IEA],7,149956330-149956379,7q36.1c,-,NM_024711.3,474344,GIMAP6,-1.4889135188655853,6.970243920412235,-30.027151083617316,1.3445798759220432e-69,9.607983627660086e-67,148.26351879208767
CA4,ILMN_1695157,"Homo sapiens carbonic anhydrase IV (CA4), mRNA.",membrane fraction [goid 5624] [pmid 6811592] [evidence TAS]; membrane [goid 16020] [evidence IEA],visual perception [goid 7601] [evidence IEA]; one-carbon compound metabolism [goid 6730] [evidence IEA],carbonate dehydratase activity [goid 4089] [pmid 1311094] [evidence TAS]; lyase activity [goid 16829] [evidence IEA]; GPI anchor binding [goid 48503] [evidence IEA]; zinc ion binding [goid 8270] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA],17,55591584-55591633,17q23.1a,+,NM_000717.2,762,CA4,-5.2961465062118975,9.153886050533133,-29.933371674639456,2.0980553890427852e-69,1.4475135249644153e-66,147.82091232231826
ABCA8,ILMN_1796801,"Homo sapiens ATP-binding cassette, sub-family A (ABC1), member 8 (ABCA8), mRNA.",,,ATPase activity [goid 16887] [evidence IEA]; nucleotide binding [goid 166] [evidence IEA]; ATP binding [goid 5524] [evidence IEA],17,64375585-64375634,17q24.2c,-,NM_007168.2,10351,ABCA8,-1.8802387087360364,6.6827520855032905,-29.90190455968297,2.436392257446133e-69,1.6249112095660744e-66,147.67218086025326
MFAP4,ILMN_1766914,"Homo sapiens microfibrillar-associated protein 4 (MFAP4), mRNA.",microfibril [goid 1527] [pmid 7633408] [evidence NAS]; extracellular matrix (sensu Metazoa) [goid 5578] [evidence IEA],cell adhesion [goid 7155] [evidence NAS],calcium ion binding [goid 5509] [evidence IEA]; protein binding [goid 5515] [evidence IEA],17,19227463-19227512,17p11.2e,-,NM_002404.1,4239,MFAP4,-3.350147231669917,11.747184202302023,-29.18418729860773,7.594565483544062e-68,4.901679554669341e-65,144.2499157273121
CDO1,ILMN_1753931,"Homo sapiens cysteine dioxygenase, type I (CDO1), mRNA.",,L-cysteine metabolism [goid 46439] [evidence IEA],electron transporter activity [goid 5489] [evidence NR ]; cysteine dioxygenase activity [goid 17172] [evidence IEA]; oxidoreductase activity [goid 16491] [evidence IEA]; iron ion binding [goid 5506] [evidence IEA],5,115169008-115169028:115169029-115169057,5q22.3b,-,NM_001801.2,1036,CDO1,-2.906489233183459,6.783591636802163,-29.14776158755038,9.056764614185093e-68,5.66274207501923e-65,144.07468778191296
CAV2,ILMN_1658835,"Homo sapiens caveolin 2 (CAV2), transcript variant 1, mRNA.",perinuclear region [goid 48471] [pmid 8552590] [evidence IDA]; integral to plasma membrane [goid 5887] [pmid 8552590] [evidence IDA]; caveolar membrane [goid 16599] [pmid 8552590] [evidence NAS]; lipid raft [goid 45121] [pmid 11294831] [evidence IDA]; perinuclear region [goid 48471] [pmid 8552590] [evidence IDA]; integral to plasma membrane [goid 5887] [pmid 8552590] [evidence IDA]; caveolar membrane [goid 16599] [pmid 8552590] [evidence NAS]; lipid raft [goid 45121] [pmid 11294831] [evidence IDA],,protein binding [goid 5515] [pmid 10212252] [evidence IPI]; protein homodimerization activity [goid 42803] [pmid 8552590] [evidence IDA]; protein binding [goid 5515] [pmid 10212252] [evidence IPI]; protein homodimerization activity [goid 42803] [pmid 8552590] [evidence IDA],7,115935309-115935358,7q31.2b,+,NM_001233.3,858,CAV2,-2.955575114329635,8.953489195242543,-28.450921952244386,2.7058848591575623e-66,1.6405861897583183e-63,140.69344778761214
EMCN,ILMN_1685917,"Homo sapiens endomucin (EMCN), mRNA.",plasma membrane [goid 5886] [pmid 11418125] [evidence IDA]; integral to membrane [goid 16021] [evidence IEA]; external side of plasma membrane [goid 9897] [pmid 15249540] [evidence IC ]; membrane [goid 16020] [evidence IEA],angiogenesis [goid 1525] [pmid 11594763] [evidence IEP]; cell-cell adhesion [goid 16337] [pmid 15249540] [evidence IDA]; regulation of cell adhesion [goid 30155] [pmid 11418125] [evidence IMP],carbohydrate binding [goid 30246] [pmid 15249540] [evidence IDA],4,101556132-101556139:101557297-101557321:101561462-101561478,4q23c,-,NM_016242.2,51705,EMCN,-3.329699937355876,7.143416699065482,-28.36918532641291,4.0450200607881783e-66,2.3803753345955845e-63,140.29319535164743
SRPX,ILMN_1709486,"Homo sapiens sushi-repeat-containing protein, X-linked (SRPX), mRNA.",membrane [goid 16020] [pmid 8634708] [evidence TAS]; cell surface [goid 9986] [pmid 12493773] [evidence IEP],cell adhesion [goid 7155] [evidence IEA],protein binding [goid 5515] [evidence IEA],X,37893885-37893907:37893908-37893934,Xp11.4e,-,NM_006307.2,8406,SRPX,-3.236466162625465,8.923789916226827,-28.303148533620618,5.600594384010514e-66,3.2016197838652104e-63,139.96925932880453
MCEMP1,ILMN_1762713,"Homo sapiens mast cell-expressed membrane protein 1 (MCEMP1), mRNA.",,,,19,7650532-7650581,19p13.2e,+,NM_174918.1,199675,MCEMP1,-4.792726379236692,10.101499008337143,-28.07196744289972,1.7564949268949278e-65,9.762208471476033e-63,138.83124614731682
C20orf160,ILMN_1748206,"Homo sapiens chromosome 20 open reading frame 160 (C20orf160), mRNA.",,,,20,30083460-30083509,20q11.21b,+,NM_080625.2,140706,C20orf160,-2.8168882883058233,8.025252437711758,-27.936841507281446,3.43584565451299e-65,1.8579567528512407e-62,138.1631961234294
CD36,ILMN_1665132,"Homo sapiens CD36 molecule (thrombospondin receptor) (CD36), transcript variant 2, mRNA.",membrane [goid 16020] [evidence IEA]; integral to plasma membrane [goid 5887] [pmid 2468669] [evidence TAS]; membrane fraction [goid 5624] [pmid 2468669] [evidence TAS],fatty acid metabolism [goid 6631] [evidence NR ]; lipid metabolism [goid 6629] [pmid 7518447] [evidence NAS]; cell adhesion [goid 7155] [pmid 2468670] [evidence TAS]; blood coagulation [goid 7596] [pmid 2468670] [evidence TAS]; transport [goid 6810] [evidence IEA],protein binding [goid 5515] [evidence IEA]; receptor activity [goid 4872] [evidence IEA],7,80069574-80069623,7q21.11c,+,NM_001001547.1,948,CD36,-3.2248388483125403,7.468344761500495,-27.92724285198841,3.6038521902889375e-65,1.8975230164026595e-62,138.11566021632078
HBB,ILMN_2100437,"Homo sapiens hemoglobin, beta (HBB), mRNA.",hemoglobin complex [goid 5833] [pmid 10588683] [evidence NAS],transport [goid 6810] [evidence IEA]; positive regulation of nitric oxide biosynthesis [goid 45429] [pmid 7965120] [evidence NAS]; oxygen transport [goid 15671] [pmid 11747442] [evidence NAS],hemoglobin binding [goid 30492] [pmid 1512262] [evidence IDA]; heme binding [goid 20037] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA]; oxygen transporter activity [goid 5344] [pmid 11747442] [evidence NAS]; iron ion binding [goid 5506] [evidence IEA]; selenium binding [goid 8430] [pmid 15780970] [evidence IDA]; oxygen binding [goid 19825] [pmid 11747442] [evidence IDA],11,5203383-5203403:5203404-5203432,11p15.4c,-,NM_000518.4,3043,HBB,-4.479145525706734,12.671138422297659,-27.884002858222036,4.469135835304047e-65,2.2927812767375224e-62,137.90138708241187
STX1A,ILMN_1760160,"Homo sapiens syntaxin 1A (brain) (STX1A), mRNA.",integral to membrane [goid 16021] [evidence IEA]; membrane [goid 16020] [evidence IEA],neurotransmitter transport [goid 6836] [evidence IEA]; regulation of insulin secretion [goid 50796] [pmid 15537656] [evidence TAS]; intracellular protein transport [goid 6886] [evidence IEA]; exocytosis [goid 6887] [evidence NR ],protein transporter activity [goid 8565] [evidence IEA]; protein binding [goid 5515] [pmid 10321247] [evidence IPI],7,72751878-72751927,7q11.23b,-,NM_004603.1,6804,STX1A,2.7308230285649584,7.218154167501352,27.699264883213967,1.1234720234477761e-64,5.619607061285776e-62,136.9834630556912
ANKRD47,ILMN_1755588,"Homo sapiens ankyrin repeat domain 47 (ANKRD47), mRNA.",,,,19,8295547-8295596,19p13.2d,-,NM_198471.1,256949,ANKRD47,-2.681865525812335,7.27115983569305,-27.633898701965936,1.5582094751554047e-64,7.604062238758375e-62,136.65771251776522
CYYR1,ILMN_1812902,"Homo sapiens cysteine/tyrosine-rich 1 (CYYR1), mRNA.",integral to membrane [goid 16021] [evidence NAS],biological process unknown [goid 4] [evidence ND ],molecular function unknown [goid 5554] [evidence ND ],21,26760663-26760712,21q21.3a,-,NM_052954.2,116159,CYYR1,-2.7903934646700854,8.393614604265245,-27.54580731700739,2.423372018431388e-64,1.1544482701136955e-61,136.21791565499313
COX7A1,ILMN_1662419,"Homo sapiens cytochrome c oxidase subunit VIIa polypeptide 1 (muscle) (COX7A1), mRNA.",membrane [goid 16020] [evidence IEA]; mitochondrion [goid 5739] [pmid 9344674] [evidence TAS]; integral to membrane [goid 16021] [evidence IEA]; mitochondrial electron transport chain [goid 5746] [evidence IEA],electron transport [goid 6118] [evidence IEA],electron carrier activity [goid 9055] [evidence IEA]; cytochrome-c oxidase activity [goid 4129] [pmid 1327965] [evidence TAS],19,41334414-41334463,19q13.12b,-,NM_001864.2,1346,COX7A1,-2.567954018716943,9.81668645185956,-27.282926472769038,9.101312629334083e-64,4.2348619322724726e-61,134.90003007077144
CRYAB,ILMN_1729216,"Homo sapiens crystallin, alpha B (CRYAB), mRNA.",nucleus [goid 5634] [evidence NR ]; cytoplasm [goid 5737] [pmid 11256614] [evidence IDA],visual perception [goid 7601] [evidence NR ]; muscle contraction [goid 6936] [pmid 9731540] [evidence TAS]; protein folding [goid 6457] [pmid 9731540] [evidence NAS]; transmembrane receptor protein tyrosine kinase signaling pathway [goid 7169] [pmid 15609325] [evidence NAS],structural constituent of eye lens [goid 5212] [evidence IEA]; unfolded protein binding [goid 51082] [evidence NR ],11,111284752-111284801,11q23.1b,-,NM_001885.1,1410,CRYAB,-2.9946914695701112,9.019865924569544,-27.27627656311406,9.412107914619333e-64,4.279942162629628e-61,134.86658624786304
SYT15,ILMN_1747160,"Homo sapiens synaptotagmin XV (SYT15), transcript variant b, mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA]; membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],,,10,46375519-46375568,10q11.22a,-,NM_181519.2,83849,SYT15,-1.5314753582609644,6.924688502277493,-27.26077398365288,1.0178690088143679e-63,4.5256718063017496e-61,134.78860005095981
